Text,Actual,Predicted,Probability,Error_Type
"Subject: re : meter 8740 dec 99
robert and i put our heads together and decided to enter the partnership
agreement on the days in question to keep the third parties whole .
thu - it will be reallocated in about five minutes .
if you have any questions , please let me know .
- aimee
daren j farmer
03 / 22 / 2000 01 : 47 pm
to : aimee lannou / hou / ect @ ect
cc : brenda f herod / hou / ect @ ect , thu nguyen / hou / ect @ ect , robert e
lloyd / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , megan
parker / corp / enron @ enron
subject : re : meter 8740 dec 99
we do not have deal to enter for this . you need to look at the entire midtex
line for each of the days that are out of balance . if we are short at katy ,
i would think that we would be long at dewville . ( many times , our receipts
from the midtex line at katy are offset by our deliveries to tufco at the
tap . ) this should help you fix the january problem . also , for december , you
may need to ask pg & e where they show the delivery for western . is it at hpl
katy , as our records show , or is it at pge ' s another point on the midtex
line ? in any case , we don ' t have deliveries to make . the only other remedy
is to book the variance on the partnership imbalance .
d
aimee lannou 03 / 22 / 2000 01 : 24 pm
to : daren j farmer / hou / ect @ ect
cc : brenda f herod / hou / ect @ ect , thu nguyen / hou / ect @ ect , robert e
lloyd / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , megan
parker / corp / enron @ enron
subject : meter 8740 dec 99
daren - can you set up a delivery deal for meter 8740 for jan 00 and dec .
99 ? i checked oss and there is an 089 operational contract that took the
swing in case the meter flows more or less than the nom . third party
contracts are supposed to stay whole . days 12 - 14 did not flow enough to
cover the noms for western . we have the same problem on jan . 25 . please let
me know , brenda herod would like this resolved today , as would i .
- aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 03 / 22 / 2000 01 : 10
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 03 / 06 / 2000 04 : 36 pm
to : stacey neuweiler / hou / ect @ ect
cc : thu nguyen / hou / ect @ ect
subject : meter 8740 dec 99
stacy - can you please set up a new deal for meter 8740 for dec . 99 . the
problem with this meter is , all third party transports should stay whole and
hpl takes the swing . several days the meter did not flow enough and the
third parties did not receive all of their gas . i need a delivery set up so
the 3 rd parties will stay whole . if you have any questions , please let me
know .
thanks .
- aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 03 / 06 / 2000 04 : 30
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : thu nguyen 03 / 06 / 2000 04 : 14 pm
to : aimee lannou / hou / ect @ ect
cc : george grant / hou / ect @ ect
subject : meter 8740 dec 99
aimee ,
we are still having problem with this meter . from what i understand of our
conversation a week or two ago , hpl needs to take the swing to keep the other
contracts whole . in the case where we have excess flow the hpl ( r ) contract
takes the swing . so in the case where we are short , shouldn ' t we have a hpl
( d ) contract to take the swing ? please let me know if this will work . i
need to get back with settlement today . thanks
thu",0,1,0.50489306,False Positive
"Subject: cp & l
thanks for your help .
rebecca
- - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 03 / 30 / 2001 04 : 11 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
janet h wallis @ ect
03 / 29 / 2001 08 : 49 am
to : rebecca griffin / na / enron @ enron
cc :
subject : cp & l
please add a spot sale for feb 21 at $ 5 . 16 for 5 k .
thanks janet",0,1,0.50463766,False Positive
"Subject: re : valero - - meter 8018
ok , it looks like we are going with the no deal situation . i will zero out
the buyback and the sale for the next 2 weeks . let me know if you want to
handle it differently .
- - - - - - - - - - - - - - - - - - - - - - forwarded by kenneth seaman / hou / ect on 01 / 21 / 2000
12 : 05 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : gary w lamphier 01 / 21 / 2000 11 : 55 am
to : kenneth seaman / hou / ect @ ect
cc : dan j hyvl / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : re : valero - - meter 8018
i have requested a force majeure letter from valero and they wanted to know
what exact language should be in this letter . dan , can you give me some
guidance that i can directly forward to valero .
kenneth seaman 01 / 21 / 2000 09 : 17 am
to : gary w lamphier / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : valero - - meter 8018
the plant went down at 0001 hrs this morning . my information is they moved
their turnaround up and will be down for as long as 3 weeks . please let us
know how the economics should be handled - - - - buyback , force majure , no deal ,
or what .
thanks
ken",0,1,0.50251573,False Positive
"Subject: re : base gas roll 2 / 2001
based on the pages from the script , base gas roll was completed last night .
george grant
01 / 19 / 2001 03 : 54 pm
to : luis aybar / hou / ect @ ect , jayant krishnaswamy / hou / ect @ ect , dat
truong / corp / enron @ enron
cc : russ severson / hou / ect @ ect , vance l taylor / hou / ect @ ect , daren j
farmer / hou / ect @ ect , robert cotten / hou / ect @ ect
subject : base gas roll 2 / 2001
jay , louis
i just wanted to confirm with you guys that we are going to run the base gas
roll for feb 2001 production tonight .
tomorrow night we will follow up with the updating of records to unify .
if this is not possible or incorrect please let me know .
thanks
gg",0,1,0.5018602,False Positive
"Subject: josey ranch est . - - mar . 2000
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan d trevino / hou / ect on 02 / 28 / 2000
12 : 23 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
bob withers on 02 / 25 / 2000 12 : 08 : 09 pm
to : susan d trevino / hou / ect @ ect
cc : stretch brennan , knox westmoreland
, kevin mclarney , vance l
taylor / hou / ect @ ect
subject : josey ranch est . - - mar . 2000
this is the estimated josey ranch nomination for the month of march
2000 . the hpl nomination volume to be effective 3 / 1 / 2000 is :
12 , 500 mmbtu / day for kcs resources
12 , 500 mmbtu / day total ( assumed btu factor of 1 . 075
@ 14 . 65 dry )
if you need additional information , kcs ' field contact is stretch brennan in
victoria : 512 / 576 - 1005 .
bob withers > <
kcs energy , 5555 san felipe , suite 1200
houston , tx 77056
voice mail / page 713 - 964 - 9434",0,1,0.50266117,False Positive
"Subject: march nominations at shell deer park
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 02 / 22 / 2001
10 : 19 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" shankster jl ( luther ) "" on 02 / 22 / 2001 10 : 07 : 34 am
to : "" ' lamphier , gary ' ""
cc : "" carter , john "" , "" ricks , ruth ""
, kyle . r . lilly @ enron . com , mary . poorman @ enron . com
subject : march nominations at shell deer park
gary ,
march 2001 nominations for gas delivery to shell deer park are as follows :
firm baseload - 75 , 000 mmbtu / d
spot swing supply - 0 ( zero )
delivery of the above contract quantities is expected to be as follows :
hpl - hp hpl - e hpl - s
firm 15 , 000 mmbtu / d 25 , 000 mmbtu / d 35 , 000 mmbtu / d
turnaround activity started in january is expected to be completed in the
second half of march .
please let me know if you have any questions
j . luther shankster
energy & utilities planning
> phone : 713 / 277 - 9307
> fax : 713 / 277 - 9941
> e - mail : jlshankster @ equiva . com
> home page : http : / / rsweb
>",0,1,0.5128884,False Positive
"Subject: re : october wellhead
vance ,
deal # 420022 has been created and entered in sitara .
bob
vance l taylor
09 / 28 / 2000 02 : 09 pm
to : julie meyers / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , robert cotten / hou / ect @ ect
subject : re : october wellhead
bob ,
please create and enter into sitara a ticket based on the following
information :
counterparty meter volume price period
heatherloch municipal utility district 6879 500 mmbtu / d 100 % if / hsc less
$ 0 . 12 10 / 1 - 10 / 31
julie meyers
09 / 28 / 2000 10 : 52 am
daren j farmer
09 / 28 / 2000 07 : 41 am",0,1,0.50439245,False Positive
"Subject: august 2000 activity
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by lee l papayoti / hou / ect on 08 / 08 / 2000
09 : 26 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd 08 / 07 / 2000 02 : 39 pm
to : lee l papayoti / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect
subject : august 2000 activity
will there be a "" buyback "" deal for shell oil company for aug . 2000 .
deal # : 138086 expired july 31 st .",0,1,0.5023421,False Positive
"Subject: re : september spot purchases
vance ,
deal tickets have been created and entered in sitara as follows :
bob
vance l taylor
08 / 28 / 2000 04 : 33 pm
to : robert cotten / hou / ect @ ect
cc : elizabeth l hernandez / hou / ect @ ect , lisa hesse / hou / ect @ ect , trisha
hughes / hou / ect @ ect , susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect ,
melissa graves / hou / ect @ ect
subject : september spot purchases
bob ,
hplc will be purchasing wellhead gas from the producers listed below for the
production month of september . this production will be purchased on a "" spot ""
basis and deal tickets should be created and entered into sitara based on the
following information :
counterparty meter volume deal # price
whiting petroleum corp 6523 200 mmbtu / d 382601 91 % if / hsc
engage energy us , lp 5923 775 mmbtu / d 382610 100 % if / hsc less $ 0 . 24
engage energy us , lp 5848 240 mmbtu / d 382621 100 % if / hsc less $ 0 . 24
swift energy 2630 21 mmbtu / d 382627 90 % if / hsc less $ 0 . 258
duke energy trading & marketing 6347 200 mmbtu / d 382631 85 % if / hsc
additionally , this are producer svcs . deals and should be tracked in the im
wellhead portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353",0,1,0.5039097,False Positive
"Subject: re : settelement request for an equistar "" buyback "" ticket with ena
as shipper
please contact craig breslau . i did not do any deals with equistar , he did .
from : robert e lloyd 07 / 14 / 2000 09 : 29 am
to : lee l papayoti / hou / ect @ ect
cc : anita luong / hou / ect @ ect , daren j farmer / hou / ect @ ect
subject : settelement request for an equistar "" buyback "" ticket with ena as
shipper
daren wanted me to make this request to you for an equistar buyback ticket
on enron north america { ena } .
equistar has nominated activity on ena for june and july 2000 production .
settlement seems to think a buyback ticket is necessary to properly account
for equistar ' s monthly activity .",0,1,0.50546944,False Positive
