Text,Actual,Predicted,Probability,Error_Type
"Subject: fw : men & cars
because i ' m a man , when i lock my keys in the car i will
fiddle with a wire clothes hanger and ignore your
suggestions that we call a road service until long after
hypothermia has set in .
because i ' m a man , when the car isn ' t running very well ,
i will pop the hood and stare at the engine as if i know what
i ' m looking at . if another man shows up , one of us will say
to the other , "" i used to be able to fix these things , but now
with all these computers and everything , i wouldn ' t know
where to start . ""
because i ' m a man , when i catch a cold i need someone to
bring me soup and take care of me while i lie in bed and moan .
you never get as sick as i do , so for you this isn ' t an issue .
because i ' m a man , i can be relied upon to purchase basic
groceries at the store , like milk or bread . i cannot be expected
to find exotic items like "" cumin "" or "" tofu "" or "" cardamom . ""
for all i know these are all the same thing .
because i ' m a man , when one of our appliances stops working
i will insist on taking it apart , despite evidence that this will just
cost me twice as much once the repair person gets here and
has to put it back together .
because i ' m a man , i must hold the television remote control
in my hand while i watch tv . if the thing has been misplaced ,
i may miss a whole show looking for it ( though one time i was
able to survive by holding a calculator ) .
because i ' m a man , i don ' t think we ' re all that lost , and no , i
don ' t think we should stop and ask someone . why would
you listen to a complete stranger - - i mean , how could he
know where we ' re going ?
because i ' m a man , i do not want to visit your mother ,
or have your mother come visit us , or talk to her when she
calls , or think about her any more than i have to .
whatever you got her for mother ' s day is okay , i don ' t
need to see it . and don ' t forget to pick up something for
my mom , too !
because i ' m a man , you don ' t have to ask me if i liked the
movie . chances are , if you ' re crying at the end of it , i didn ' t .
because i ' m a man , yes , i have to turn up the radio when
bruce springsteen or the doors comes on , and then ,
yes , i have to tell you every single time about how bruce
had his picture on the cover of time and newsweek the
same day , or how jim morrison is buried in paris and
everyone visits his grave . please do not behave as if you
do not find this fascinating .
because i ' m a man , i think what you ' re wearing is fine .
i thought what you were wearing five minutes ago was fine ,
too . either pair of shoes is fine . with the belt or without it
looks fine . your hair is fine . you look fine .
can we just go now ?
because i ' m a man , and this is , after all , the 2000 ' s , i will
share equally in the housework . you just do the laundry ,
the cooking , the gardening , the cleaning , and the dishes . i ' ll
do the rest .",0,1,0.8567691,False Positive
"Subject: houston getaways
houston fare sale
purchase at delta . com by january 30
hello mr farmer !
take advantage of some great low fares from both hobby and bush
intercontinental to select u . s . cities . and because travel on these fares can
also originate in other cities , let friends and family know how inexpensive a
visit to houston can be . see the list of cities and fares below .
- - these fares require a 14 - day advance purchase .
- - tickets must be purchased at delta . com by january 30 , 2001 .
- - travel must be completed by march 31 , 2001 .
- - travel between houston and cities in florida is not permitted on february
16 , 23 and 25 , 2001 .
for additional information and to purchase a ticket :
http : / / www . delta . com / servlet / acredirect ? rdid = 2454 max . stay 30 days .
fare validity : fares are valid in the economy ( coach ) cabin on delta / delta
connection / delta express flights only .
changes / standby : all fares are nonrefundable . prior to departure : value of
fare may be applied to any applicable published delta fare less a $ 75 service
charge ( $ 50 for delta express ) . after departure : changes may be made for $ 75
( $ 50 for delta express ) as long as rule requirements are satisfied . special
offers issued on delta . com may not be applied to other web fares . credit
vouchers cannot be used for payment for tickets purchased on delta . com . same
day standby is allowed .
taxes / fees : fares do not include passenger facility charge ( s ) of up to $ 18 .
miscellaneous : fares are subject to change without notice . other restrictions
may apply . it is the responsibility of the passenger to be in possession of
all necessary documentation ( e . g . , valid passport , visa where applicable ) at
the time of departure from origin . this offer is void where prohibited by
law . third party purchases of tickets are not permitted on delta . com . the
credit card holder making the purchase must be a traveling passenger or have
the same last name of at least one passenger . these fees are the
responsibility of the passenger and must be paid at the time of ticketing .
subscribe / unsubscribe
you have received this e - mail because your e - mail preferences indicate you
would like to receive information about cities contained in this email . to
modify your e - mail options , or unsubscribe from this service , please visit
the following link and enter your skymiles account number and pin . you will
then be able to update your preferences in our e - mail programs section .
copyright information
this e - mail message and its contents are copyrighted and are
proprietary products of delta air lines , inc . any unauthorized
use , reproduction , or transfer of this message or its contents ,
in any medium , is strictly prohibited .
this is a post only e - mail . please do not respond to this message .
",0,1,0.9675364,False Positive
"Subject: fw : missing man formation
- - - - - original message - - - - -
from : abbott , todd
sent : wednesday , february 02 , 2000 5 : 00 pm
to : glover , rusty ; beard , jaime ; woodson , todd ; hauser , tony ; canedy ,
frank ; ' hatch , jessica ' ; ' lynch , jerilyn ' ; ' rea , michelle ' ; ' van
fleteren , jennifer '
subject : fw : missing man formation
- - - - - original message - - - - -
from : jennifer martin [ mailto : jnmartin 97 @ hotmail . com ]
sent : tuesday , february 01 , 2000 7 : 16 pm
to : emartin @ mail . esc 4 . com ; abbott , todd ; abraun 97 @ hotmail . com ;
chris @ figdigital . com ; joseph . j . piotrowski @ ac . com
subject : fwd : missing man formation
> from : "" k . c . allan ""
> to : jbt @ tca . net , joshbuis @ swbell . net , aggie 97 ljt @ aol . com ,
> dave _ kent @ hotmail . com , andrea . ivers @ usa . net , bryan _ reinke @ notes . amdahl . com ,
> celeste . y . flores @ ac . com , ckoehn @ dynamsys . com , cmh 5695 @ medicine . tamu . edu ,
> cmaltsberger @ lanner . com , dholwerda @ unitedtexas . com , dhartman @ gdhm . com ,
> dmco 97 @ hotmail . com , jamierespondek @ hotmail . com , aggie 94 @ vvm . com ,
> minchinton @ aol . com , jnmartin 97 @ hotmail . com , jprejean @ law . harvard . edu ,
> kirstenkloepfer @ hotmail . com , kandylo 3 @ aol . com , ldp 2795 @ acs . tamu . edu ,
> michael _ ham @ bigfoot . com , jlkloepfer @ msn . com , peggy @ msc . tamu . edu ,
> russnjan @ aol . com , ryan . smith @ enform . com , jascollin @ msn . com ,
> stevef @ mail . utexas . edu , timothy . r . fox @ us . pwcglobal . com ,
> vca 5222 @ acs . tamu . edu , whitney . s . fox @ us . arthurandersen . com
> subject : missing man formation
> date : tue , 01 feb 2000 10 : 47 : 31 cst
>
>
>
get your private , free email at http : / / www . hotmail . com
- attl . htm
message - id :
from : chuck ellison
to : "" denise werst ( e - mail ) "" , "" bill helwig ( e - mail ) ""
, "" bill martin ( e - mail ) "" , "" bill
mitchem ( e - mail ) "" , "" bob appleton ( e - mail ) ""
, "" bob shield ( e - mail ) ""
, "" clint schroff ( e - mail ) "" , "" david
hickson ( e - mail ) "" , "" don jones ( e - mail ) ""
, "" jimmy bond ( e - mail ) "" , "" jon miller
( e - mail ) "" , "" kent caperton ( business fax ) ""
,
"" kim ellison ( e - mail ) "" , "" marty roos ( e - mail ) ""
, "" mat moten ( e - mail ) "" , "" p . k . imbrie
( e - mail ) "" , "" paul clarke ( e - mail ) ""
, "" penny king ( e - mail ) "" , "" pj
ellison ( e - mail ) "" , "" porter & lisa garner ( e - mail ) ""
, "" reba ragsdale ( e - mail ) "" , "" ron
spies ( e - mail ) "" , "" steve beachy ( e - mail ) ""
, "" steve rodgers ( e - mail ) ""
, "" ted beck ( e - mail ) "" , "" wallace
trochesset ( e - mail ) "" , tedi , "" alan
futrell ( e - mail ) "" , "" bill flores ( e - mail ) ""
, "" brent futrell ( e - mail ) "" , "" chris burkard
( e - mail ) "" , "" david buttery ( e - mail ) "" ,
"" dean williams ( e - mail ) "" , "" fred
i hope that you enjoy this as much as i did . for those of you who cannot
get it open , it is a picture from the cockpit of the plane of the missing
man during the flyover at the a & m vs . tu game .
>
chuck ellison
charles a . ellison , p . c .
p . o . box 10103
college station , tx 77842
( 409 ) 696 - 9889
( 409 ) 693 - 8819 ( fax )
chuck @ ellisonlaw . com
this e - mail message is for the sole use of the intended recipient ( s ) and may
contain confidential and privileged information . any unauthorized review ,
use , disclosure or distribution is prohibited . if you are not the intended
recipient , please contact the sender by reply e - mail and destroy all copies
of the original message . thank you .
- att 2 . htm
- kyle field . jpg",0,1,0.670776,False Positive
"Subject: registration confirmation - my yahoo !
account information
help
do not reply to this message . if you did not request this account , click
here .
registration confirmed - welcome to yahoo !
this message confirms your new account with yahoo ! .
?
your yahoo ! id :
mpfarmer
your email address :
dfarmer @ enron . com
?
what if the email address listed above is incorrect or changes in the future ?
please keep your email contact current so we can help you in case you can ' t
access your yahoo ! account . to update your email address , first sign into
my yahoo ! or any other yahoo ! personalized service . then click on "" account
info "" at the top of the page . ( if "" account info "" is not available , please
click on "" options "" first , then on "" account info . "" ) the field you need to
change is called "" alternate email address . ""
?
what can i do with my new yahoo ! id ?
yahoo ! mail yahoo ! mail
get your own yahoo . com email address yahoo ! auctions yahoo ! auctions
buy and sell for free . [ image ] yahoo ! chat
chat with people from all over the world .
yahoo ! calendar yahoo ! calendar
keep yourself organized . my yahoo ! my yahoo !
customize the way you use the internet . yahoo ! games yahoo ! games
new and classic online games .
yahoo ! travel yahoo ! travel
reservations , tickets , discounts and information . yahoo ! shopping yahoo ! shopping
search for your favorite products and brands and compare prices . yahoo ! messenger yahoo !
messenger
get notified when you have new mail and send instant messages .
show me more . . .
thank you for signing up at yahoo !
?
what if i didn ' t request this account ?
please click here if you didn ' t request it or no longer wish to have it . if
you are then prompted for the deletion key , please cut and paste the
following to the text box as requested on the deletion page :
you could also reply to this email ( and make sure to copy this entire email
in your reply ) with remove as the subject line .
[ 192 . 152 . 140 . 9 ]",0,1,0.97308993,False Positive
"Subject: fw : kick
this looks painful !
- - - - - original message - - - - -
from : almaguer , michael
sent : wednesday , may 23 , 2001 9 : 32 am
to : glover , rusty
subject : fw : kick
importance : high
- - - - - original message - - - - -
from : almaguer , daniel ( us - dallas ) [ mailto : dalmaguer @ deloitte . com ]
sent : wednesday , may 23 , 2001 7 : 58 am
to : ' malmaguer @ halff . com ' ; ' carmen . martinez @ globalknowledge . com ' ;
' eric . silva @ homecomings . com '
subject : fw : kick
importance : high
waassup big worm , send this to mom .
- - - - - original message - - - - -
from : rosales , rudy ( us - irving )
sent : wednesday , may 23 , 2001 7 : 34 am
to : moore , phillip ( us - dallas ) ; lollar , eric ( us - dallas ) ; watson ,
kelvin ( us - dallas ) ; briden , chris ( us - dallas ) ; kapka , cory ( us -
dallas ) ; lenerose , shaun ( us - dallas ) ; brown , shannon ( us - dallas ) ;
almaguer , daniel ( us - dallas ) ; kelley , dan ( us - dallas ) ; scalf , mitch
( us - irving ) ; watts , linda ( us - dallas ) ; watts , james ( us - dallas ) ;
pittman , francie ( us - irving ) ; stephenson , aubrey ( us - irving ) ;
' sonia . guzman @ gadzooks . com '
subject : fw : kick
- -
kick
this message ( including any attachments ) contains confidential information
intended for a specific individual and purpose , and is protected by law . if
you are not the intended recipient , you should delete this message and are
hereby notified that any disclosure , copying , or distribution of this
message , or the taking of any action based on it , is strictly prohibited .
>
- kick . mpeg",0,1,0.9135745,False Positive
"Subject: enron net works
it is becoming increasingly clear that the development of ecommerce will have
a significant and continuing impact on the conduct of business in a broad
array of industries . through enrononline , enron has quickly become a major
catalyst for the transition to the web in the gas and electric industries .
enrononline has been an enormous success since its launch . since launch , we
have completed 67 , 043 transactions on line , with a total dollar value of over
$ 25 billion . enrononline is now the largest ecommerce site in the world .
we believe that the competitive success of enrononline is due to one very
specific reason . in addition to providing a web - based platform for
transactions , enron acts as principal to provide direct liquidity to the
site . we stand ready at all times , in any market conditions , to buy and sell
at the posted price . this converts a  & bulletin board  8 ( the more typical
ecommerce concept ) into a true market . there are very few , if any ,
competitors that can provide this capability .
we are increasingly convinced that this competitive advantage can be
dramatically expanded to other products and other geographies . if we are
correct , this could provide an enormous new opportunity for growth for enron .
accordingly , we are initiating a major new effort to capture this
opportunity . effective today we are creating a new business , enron net
works , to pursue new market development opportunities in ecommerce across a
broad range of industries . it is likely that this business will ultimately
be our fifth business segment , joining transmission mike
mcconnell , chief operating officer ; and jeff mcmahon , chief commercial
officer . these individuals will comprise the office of the chairman for
enron net works and remain on the executive committee of enron corp .
replacing greg whalley as president and chief operating officer of enron
north america is dave delainey , who will also join enron  , s executive
committee .
global technology will remain intact but will now be a part of enron net
works . it will maintain all of the same businesses and services as it did as
an enron global function . philippe bibi will remain the chief technology
officer for all of enron corp . and continues to be responsible for the
development of worldwide technology standards and platforms .
enrononline , headed by louise kitchen , will also remain intact and will now
be a part of enron net works . the success of enrononline enables us to
utilize this site as a model as we explore other markets . in addition , the
following individuals are included in enron net works along with their
current ecommerce initiatives : harry arora , public financial securities ; jay
fitzgerald , new markets identification ; bruce garner , metals ; and greg piper ,
pulp and paper .
over the next several weeks we will complete staffing and organizational
design and will provide full details on this exciting new business
opportunity .",0,1,0.6625074,False Positive
"Subject: football & more
i ' m glad you got $ 20 from my favorite person .
?
linda has been into the nba , but i find it unexciting anymore .
?
nebraska will go to some obscure bowl , the stock market is killing me , and
this election business is nuts .
?
i believe texas should re - establish itself as a republic and i can go to the
barricades . now that gets my juices going .
?
later ,
ken",0,1,0.8535415,False Positive
"Subject: weekly fan fares
delta fan fares for february 3 - february 6 , 2001
hello mr farmer !
welcome to this week ' s version of delta fan fares . for the uninitiated , it ' s
an incredible e - mail program for delta customers who want to get away from it
all and enjoy events and activities in cities across the country .
before you start packing , remember that you ' ll need your skymiles number ,
2341930101 , to take advantage of this exclusive online offer . these fares
are for round - trip travel with a saturday departure and a return on either
monday or tuesday .
from this week ' s list , find a trip that you can ' t afford to miss . then follow
this link to purchase your delta ticket online :
professional basketball
purchase a fan fare and support your favorite basketball team on the road
this coming weekend .
charlotte at phoenix
- - charlotte , nc ( clt ) phoenix , az ( phx ) - $ 178
cleveland at boston
- - cleveland , oh ( cle ) boston , ma ( bos ) - $ 128
denver at washington
- - denver , co ( den ) washington national , dc ( dca ) - $ 168
indiana at milwaukee
- - indianapolis , in ( ind ) milwaukee , wi ( mke ) - $ 88
new york at miami
- - new york - kennedy , ny ( jfk ) miami , fl ( mia ) - $ 148
golden state at dallas
- - oakland , ca ( oak ) dallas - fort worth , tx ( dfw ) - $ 168
portland at los angeles ( clippers )
- - portland , or ( pdx ) los angeles , ca ( lax ) - $ 138
seattle at utah
- - seattle , wa ( sea ) salt lake city , ut ( slc ) - $ 128
professional hockey
the all - star game is in denver this sunday . come see the league ' s best
players heat up the ice .
- - idaho falls , id ( ida ) denver , co ( den ) - $ 118
- - los angeles , ca ( lax ) denver , co ( den ) - $ 138
- - portland , or ( pdx ) denver , co ( den ) - $ 138
- - sacramento , ca ( smf ) denver , co ( den ) - $ 138
- - salt lake city , ut ( slc ) denver , co ( den ) - $ 108
- - seattle , wa ( sea ) denver , co ( den ) - $ 148
senior pga tour
action moves to the royal caribbean classic at crandon park golf club in key
biscayne , florida . enjoy some golf while spending the weekend in the south
florida sun .
- - new york - kennedy , ny ( jfk ) miami , fl ( mia ) - $ 148
- - tallahassee , fl ( tlh ) miami , fl ( mia ) - $ 118
arts and entertainment
fan fares gives you the chance to spend some time in a city you might not
otherwise visit . this weekend , enjoy yourself in milwaukee .
travel to milwaukee
a friendly city with a decidedly sophisticated air , this midwestern gem
offers plenty of art and cultural events , nightlife , and beautiful lakeside
parks . and there ' s plenty to do indoors in milwaukee , so don ' t let the
february weather keep you away .
in addition to the professional basketball action on saturday night ( indiana
comes to town to play milwaukee ) , here ' s a few other ideas to get your
planning started .
the haggerty museum of art
located on the western end of downtown on the marquette university campus ,
the museum ' s collection includes works by dali , chagall and man ray . you ' ll
also find an impressive collection of sculpture and contemporary glass .
the milwaukee public museum
this museum of human and natural history is one of the nation ' s best and
often sets the standard for similar institutions . everyone in the family will
enjoy the engaging exhibits . you ' ll find 150 , 000 square feet of exhibit
space , through which you ' ll be able to visit all of the world ' s continents .
find the museum and the humphrey imax dome theater at 800 west wells street .
- - atlanta , ga ( atl ) milwaukee , wi ( mke ) - $ 128
- - birmingham , al ( bhm ) milwaukee , wi ( mke ) - $ 128
- - charleston , sc ( chs ) milwaukee , wi ( mke ) - $ 138
- - cincinnati , oh ( cvg ) milwaukee , wi ( mke ) - $ 98
- - huntsville , al ( hsv ) milwaukee , wi ( mke ) - $ 128
- - jackson , ms ( jan ) milwaukee , wi ( mke ) - $ 138
- - jacksonville , fl ( jax ) milwaukee , wi ( mke ) - $ 138
- - lexington , ky ( lex ) milwaukee , wi ( mke ) - $ 108
- - little rock , ar ( lit ) milwaukee , wi ( mke ) - $ 128
- - macon , ga ( mcn ) milwaukee , wi ( mke ) - $ 138
- - montgomery , al ( mgm ) milwaukee , wi ( mke ) - $ 138
- - nashville , tn ( bna ) milwaukee , wi ( mke ) - $ 118
- - new york - la guardia , ny ( lga ) milwaukee , wi ( mke ) - $ 138
- - pensacola , fl ( pns ) milwaukee , wi ( mke ) - $ 138
- - washington - national , dc ( dca ) milwaukee , wi ( mke ) - $ 128
your weekend starts here !
want to take advantage of any of these great delta fan fares ? click below !
delta reservations
to make delta reservations from delta ' s home page , visit :
fares do not include a $ 2 . 75 federal excise tax which will be imposed on each
flight segment of your itinerary . a flight segment is defined as a takeoff
and a landing .
service : some services may be provided by the delta connection carriers :
atlantic coast jet , atlantic southeast airlines , comair and skywest .
terms and conditions
restrictions : seats are limited and fares may not be available on all days or
all flights .
purchase requirements : fares must be purchased via delta ' s web site
( delta . com ) only .
ticketing period : tickets must be purchased by 02 / 03 / 01 .
travel period : outbound travel is permitted on saturday 02 / 03 / 01 only .
inbound travel is permitted on monday 02 / 05 / 01 or tuesday 02 / 06 / 01 only .
blackout dates : none .
minimum / maximum stay : minimum stay : saturday night . maximum stay : 3 days .
fare validity : fares are valid in the economy ( coach ) cabin on delta / delta
connection / delta express . all fares are round trip .
changes / upgrades / standby : all fares are nonrefundable . changes - prior to
departure : value of fare may be applied to any applicable published delta
fare less a $ 75 service charge . after departure : no changes are permitted .
special offers issued on delta ' s web site may not be applied to other web
fares on delta . com . credit vouchers cannot be used for payment for tickets
purchased on delta . com . same day standby is allowed .
taxes / fees : fares do not include government imposed transportation taxes and
other applicable fees , including segment fees ( $ 2 . 75 per segment ) , and
passenger facility charge ( s ) of up to $ 18 . these fees are the responsibility
of the passenger and must be paid at the time of ticketing .
miscellaneous : fares are subject to change without notice . other restrictions
may apply .
subscribe / unsubscribe
you have received this e - mail because your e - mail preferences indicate you
would like to receive delta fan fares information . to modify your e - mail
options , or unsubscribe from this service , please visit the following link
and enter your skymiles account number and pin . you will then be able to
update your preferences in our e - mail programs section .
copyright information
this e - mail message and its contents are copyrighted and are
proprietary products of delta air lines , inc . any unauthorized
use , reproduction , or transfer of this message or its contents ,
in any medium , is strictly prohibited .
this is a post only e - mail . please do not respond to this message .
",0,1,0.6367155,False Positive
"Subject: craving for rolexes or omegas ?
empty your pockets and accounts for one vvatch ? you are kidding . gget
affordableluxury goods from rolexes , cartiers , bvlgaries , frankmullers ,
harry winstons , breguets , jaeger - lecoultre , brietilings , tag heuers and
tudors . see our convincing beauties that have logos and serialnumber . we are
artists that make ccheaper ones lo 0 k including the classics .
our goods might take only one third or even one tenth of the prototypes .
they are waterproof and madefrom stainlessteel .
the vvatches at our cybersstore are madeof vvhole stainlesssteel . for high
durable goods , pur - chase our vvatches .
http : / / m . i . discoverdreamland . com / psy /
take a ccheck at our vvatches with diverse energies . pur - chase either
batteryquartz ones or anto - matic mechanics .
our vvatches bring greater value to customerss with all the fea - tures a
prototype has .
ng me , you need not be uneasy . captain harville holds himself quite
engaged ,
i ' ll answer for it ; and captain wentworth the same , i dare say .
' my own little davy ! is i
` didn ' t expect me , did you ? ' said stepan arkadyevich , getting out of the
sleigh , splashed with mud on the bridge of his nose , on his cheek , and on
his eyebrows , but radiant with health and good spirits . ` i ' ve come primarily
to see you , ' he said , embracing and kissing him , ` secondly , to have some
stand shooting , and thirdly , to sell the forest at ergushovo . ' from the
visit by such nonsense . what ! would i be turned back from
t to be hinted to me that i am wa 2 nting 4 in affection for my prec ious
treasure , the
",1,0,0.43011272,False Negative
"Subject: watch this stock going up
a niche remanufacturing industry alert for investors and traders : one of a few very unique technological opportunities : re - manufacturing for a global market
stock alert -
updated : 4 / 22 / 05 09 : 23 am est
adsero corp ( adso ) is a leader in the printer cartridge recharger industry .
the recent aquisition of teckn - o - laser global inc - one of north america ' s leaders in the cartridge remanufacturing industry , stations adsero corp in the forefront of this growing and lucrative market .
adso stock status :
last sale : 1 . 00
52 wk range : 1 . 20 - 2 . 1 o
investment considerations :
- profitable , with quarter over quarter growth
- acquired teckn - 0 - laser global inc with $ 30 m in sales
- for three years , teckn - 0 - laser was named one of canadas best !
- domestic us market is estimated to be in excess of $ 9 billion by 2006 !
- global market is estimated to be in excess of $ 25 billion !
company profile :
adsero corp . is a rapidly expanding company focusing on the printer cartridge recharger industry , with specific emphasis on laser toner , and to a lesser extent ink jet cartridges .
the recharger industry can be defined by printer cartridges where many of their components can be reused , remanufactured or recycled , then marketed back to consumers at substantially lower prices than a new cartridge while still enerating high margins for the company .
aderso corp . seeks to consolidate well - managed and profitable companies which address the highly lucrative recharger segment .
recharger industry profile :
total market is estimated to be in excess of $ 25 billion globally
specific specialization will be in the cartridge recharger industry . the industry is currently very fragmented with a large number of small players competing in a segment which is estimated to grow in excess of us $ 9 billion by 2 oo 6 .
in order to compete , players will need to achieve economies of scale and develop expanded sales channels .
adsero corp . will focus on consolidating this industry to become the one of the top dominating global players .
conclusion :
adsero corp . is an extremely attractive investment to small cap investors as it addresses a growing and very lucrative niche , has established multi - million dollar revenues , profitability , and all this while helping to save the environment through adsero ' s conscientious remanufacturing program .
as a serious player in the cartridge aftermarket , industry , adsero corp . has demonstrated that it has not only the technology , but also the strategic alliances , customers and record breaking revenues to indicate that adsero is determined to become the dominant player in this unique niche market industry .
this e - mail is sent for the sole attention of the identified addressee and its contents
are provided for information purposes only . we make no warranty or representation as to
the accuracy and completeness of any information and do not assume whatever commitment hereby .
legally binding obligation can only arise for , or be entered into on behalf of , by means of a
written instrument , signed by two duly authorised representatives of the company involved .
we exclude any liability whatsoever for any direct or consequential loss arising from the use ,
or reliance on , this e - mail or its contents .
* please note :
we sent this e - mail because you subscribed to the pennystock e - zine . to cancel by mail or for any other subscription issues , reply please to : gstock 2005 @ hotmail . com
( c ) 2 oo 5 pennystock e - zine all rights reserved
",1,0,0.005356307,False Negative
