Text,Actual,Predicted,Probability,Error_Type
"Subject: resume - dart arnaez
internal candidate response to job # 104210 . i have not talked to him .",0,1,0.8160100818385488,False Positive
"Subject: reviewers
janet wallis
kyle lilly
howard camp
carlos rodriguez
thu nguyen
joan quick ( for ces )
bob superty ( ces )
ed gottlob
bryan hull",0,1,0.8278090409426262,False Positive
"Subject: fw : men & cars
because i ' m a man , when i lock my keys in the car i will
fiddle with a wire clothes hanger and ignore your
suggestions that we call a road service until long after
hypothermia has set in .
because i ' m a man , when the car isn ' t running very well ,
i will pop the hood and stare at the engine as if i know what
i ' m looking at . if another man shows up , one of us will say
to the other , "" i used to be able to fix these things , but now
with all these computers and everything , i wouldn ' t know
where to start . ""
because i ' m a man , when i catch a cold i need someone to
bring me soup and take care of me while i lie in bed and moan .
you never get as sick as i do , so for you this isn ' t an issue .
because i ' m a man , i can be relied upon to purchase basic
groceries at the store , like milk or bread . i cannot be expected
to find exotic items like "" cumin "" or "" tofu "" or "" cardamom . ""
for all i know these are all the same thing .
because i ' m a man , when one of our appliances stops working
i will insist on taking it apart , despite evidence that this will just
cost me twice as much once the repair person gets here and
has to put it back together .
because i ' m a man , i must hold the television remote control
in my hand while i watch tv . if the thing has been misplaced ,
i may miss a whole show looking for it ( though one time i was
able to survive by holding a calculator ) .
because i ' m a man , i don ' t think we ' re all that lost , and no , i
don ' t think we should stop and ask someone . why would
you listen to a complete stranger - - i mean , how could he
know where we ' re going ?
because i ' m a man , i do not want to visit your mother ,
or have your mother come visit us , or talk to her when she
calls , or think about her any more than i have to .
whatever you got her for mother ' s day is okay , i don ' t
need to see it . and don ' t forget to pick up something for
my mom , too !
because i ' m a man , you don ' t have to ask me if i liked the
movie . chances are , if you ' re crying at the end of it , i didn ' t .
because i ' m a man , yes , i have to turn up the radio when
bruce springsteen or the doors comes on , and then ,
yes , i have to tell you every single time about how bruce
had his picture on the cover of time and newsweek the
same day , or how jim morrison is buried in paris and
everyone visits his grave . please do not behave as if you
do not find this fascinating .
because i ' m a man , i think what you ' re wearing is fine .
i thought what you were wearing five minutes ago was fine ,
too . either pair of shoes is fine . with the belt or without it
looks fine . your hair is fine . you look fine .
can we just go now ?
because i ' m a man , and this is , after all , the 2000 ' s , i will
share equally in the housework . you just do the laundry ,
the cooking , the gardening , the cleaning , and the dishes . i ' ll
do the rest .",0,1,0.8356291184649193,False Positive
"Subject: re : duke
this has been nominated , tracked and balanced . . .
mary",0,1,0.9005618366184455,False Positive
"Subject: february updates
sorry so late .",0,1,0.8848638893702381,False Positive
"Subject: re : fw : king ranch balancing . xls
saxet is flowing about 5200 ish .",0,1,0.8682101823970902,False Positive
"Subject: duplicates
sorry for any duplicate , having problems with lotus
notes .
gary green",0,1,0.7254143545137467,False Positive
"Subject: global octanes
finished visiting with counsel . . . . . we will need to start with the buyback
for global octanes 9 am tomorrow",0,1,0.6771091653236515,False Positive
"Subject: income tax
hey ! tonya said to staple copy b of the w - 2 to the tax return - - but on the
one from camp it says copy c for payer or state copy , copy b for recipient
( keep for your records ) . so which one do i send ? the one from the school
says send b but i ' m confused on the other one .
what did the doctor say about tonya & the due date ? love , ma
get your private , free email at http : / / www . hotmail . com",0,1,0.6427732993054632,False Positive
"Subject: password reset
this is a generated email - do not reply !
if you need further assistance , contact the isc help desk at : 713 - 345 - 4727
the password for your account : po 0507544 has been reset to : 14031399",0,1,0.5091117612702477,False Positive
