Text,Actual,Predicted,Probability,Error_Type
"Subject: important video announcement
i have a very important video announcement about the future of our company . please go to to access the video . thank you .",0,1,0.6038677184653231,False Positive
"Subject: fw : men & cars
because i ' m a man , when i lock my keys in the car i will
fiddle with a wire clothes hanger and ignore your
suggestions that we call a road service until long after
hypothermia has set in .
because i ' m a man , when the car isn ' t running very well ,
i will pop the hood and stare at the engine as if i know what
i ' m looking at . if another man shows up , one of us will say
to the other , "" i used to be able to fix these things , but now
with all these computers and everything , i wouldn ' t know
where to start . ""
because i ' m a man , when i catch a cold i need someone to
bring me soup and take care of me while i lie in bed and moan .
you never get as sick as i do , so for you this isn ' t an issue .
because i ' m a man , i can be relied upon to purchase basic
groceries at the store , like milk or bread . i cannot be expected
to find exotic items like "" cumin "" or "" tofu "" or "" cardamom . ""
for all i know these are all the same thing .
because i ' m a man , when one of our appliances stops working
i will insist on taking it apart , despite evidence that this will just
cost me twice as much once the repair person gets here and
has to put it back together .
because i ' m a man , i must hold the television remote control
in my hand while i watch tv . if the thing has been misplaced ,
i may miss a whole show looking for it ( though one time i was
able to survive by holding a calculator ) .
because i ' m a man , i don ' t think we ' re all that lost , and no , i
don ' t think we should stop and ask someone . why would
you listen to a complete stranger - - i mean , how could he
know where we ' re going ?
because i ' m a man , i do not want to visit your mother ,
or have your mother come visit us , or talk to her when she
calls , or think about her any more than i have to .
whatever you got her for mother ' s day is okay , i don ' t
need to see it . and don ' t forget to pick up something for
my mom , too !
because i ' m a man , you don ' t have to ask me if i liked the
movie . chances are , if you ' re crying at the end of it , i didn ' t .
because i ' m a man , yes , i have to turn up the radio when
bruce springsteen or the doors comes on , and then ,
yes , i have to tell you every single time about how bruce
had his picture on the cover of time and newsweek the
same day , or how jim morrison is buried in paris and
everyone visits his grave . please do not behave as if you
do not find this fascinating .
because i ' m a man , i think what you ' re wearing is fine .
i thought what you were wearing five minutes ago was fine ,
too . either pair of shoes is fine . with the belt or without it
looks fine . your hair is fine . you look fine .
can we just go now ?
because i ' m a man , and this is , after all , the 2000 ' s , i will
share equally in the housework . you just do the laundry ,
the cooking , the gardening , the cleaning , and the dishes . i ' ll
do the rest .",0,1,0.6229426132105825,False Positive
"Subject: new email
yo bro . this is my new email address . save it .
aggie _ chico 2 @ hotmail . com .
love you , lacy
get your private , free email at http : / / www . hotmail . com",0,1,0.6177488800291349,False Positive
"Subject: christmas tree farm pictures
",0,1,0.5012350128309379,False Positive
"Subject: hunter ' s birthday party pictures
if the above link doesn ' t work , try going to http : / / www . abacustech . net / pic
- ram .",0,1,0.5977844907514432,False Positive
"Subject: $ 5 for cd ' s dvd ' s expires soon at half . com
* * free $ 5 coupon at half . com * *
o half . com is a new site for cds , books , movies , & video games
o everything is 50 - 90 % off and you get $ 5 off your first $ 10 order
o plus , free shipping with your first order of 3 or more items
o be sure to pass this coupon on to all your friends ! ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
"" use it or lose it "" expires soon ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
the hottest titles at 50 % off while they last - including :
cds - santana , n sync , dixie chicks , jay - z , and christina
aguilera project , sixth sense and matrix
dvds - world is not enough , blair witch and more . . .
* * free $ 5 coupon at half . com * *
click here for 5 bucks !
your coupon code is : lifestyle 5
on the shopping cart page , enter your $ 5 . 00 coupon
code on the right side of the page . after submitting
your code , your coupon will be displayed in your
shopping cart .
you have received this invitation to participate in our offer because
you or someone using your e - mail address agreed to receive special
promotional offers from retail trade services and its web site
partners . if you wish to be excluded from future offers , please reply
to this message and type "" unsubscribe "" in the subject line .
all questions can be sent to :
if you wish to know more about our privacy policies , please go to
",0,1,0.6598351264730136,False Positive
"Subject: income tax
hey ! tonya said to staple copy b of the w - 2 to the tax return - - but on the
one from camp it says copy c for payer or state copy , copy b for recipient
( keep for your records ) . so which one do i send ? the one from the school
says send b but i ' m confused on the other one .
what did the doctor say about tonya & the due date ? love , ma
get your private , free email at http : / / www . hotmail . com",0,1,0.535379545775562,False Positive
"Subject: investment news : hot stock this week ! ""
the u . s . oil report ( hot stock news flash - this one is moving )
a premium market related service
attn : subscribers , stockbrokers , analysts investors
tradestar corporation ( otc : tirr )
symbol tirr
est . shares outstanding 38 , 000 , 000
est . float 2 , 000 , 000
recent price $ 0 . 71
tirr is up over 70 % in the past two weeks ! ! !
tradestar corporation ( tirr ) finishes recompletion of karnes county tx oil well bringing on 35 bpd in production ! ! !
readers who have followed oil stock recommendations ( otcbb : svse and asurf ) in the past have profited nicely .
the company
tradestar corp . ( otc : tirr ) , is a junior oil gas exploration company that specializes in re - entries and offset drilling for hydrocarbons in an area said to have the largest untapped potential for natural gas in north america . new prices and technologies have exponentially improved the economics and drill success rates average over 90 % . tradestar corp . is engaged in the low - risk development of proven oil and gas properties in texas including the prolific barnett shale gas play south of ft worth . the rapid oil and gas price increases and recent advances in economical drilling , completion and production techniques , have resulted in :
1 accelerated development activity and increased land lease values in this extremely productive area .
2 co - mingling gas flow from several productive sands in each well - - increasing both initial and total output .
3 the opportunity to drill new offset wells - - where success rates are typically over 90 % . ( using oil @ $ 35 . 00 and gas @ $ 4 . 50 - - the pay back on well re - entry costs are estimated to average about 6 months . oil is currently $ 48 and gas $ 6 ! ! ! !
tirr ' s strategy is to strike oil again ! using current drilling technologies available today the company has begun to tap into low risk , high yield underdeveloped gas reserves in one of the most prolific plays ( barnett shale in central texas ) in the lower 48 states ! ! ! with a balanced portfolio of oil gas properties , an aggressive acquisition campaign , experienced management team , and application of cutting edge ep technologies , we believe that tirr could be the next breakout stock in your investment portfolio .
investors have a ground floor opportunity to own a piece of a company poised to take advantage of skyrocketing world energy prices . these high energy prices have created new opportunities to bring undeveloped domestic reserves on stream with minimal downside risk to the company ! ! ! !
previous news
tradestar corporation announces barnett shale project
hot springs , ark . , - - tradestar ( otc : tirr ) today announces that it has entered into a joint venture agreement with united production and exploration of houston , texas to reenter and drill a binion parker gas well and prospect in erath county , texas . in addition to the gas well reentry , the prospect , which covers 111 acres , has an additional location to drill a new well . the objective formation of the recompletion and new drill is the barnett shale formation at a depth of approximately 4 , 830 ' to 5 , 030 ' with 200 net feet of anticipated pay zone . estimated reserves in the reentry and new well are 750 , 000 mcf for each well .
why we love this stock
1 . continued rise in world oil gas prices !
2 . over 30 potential oil gas producing sites in the prolific barnett shale of central texas
3 . strong industry investment banking relationships
4 . strong management - over 50 years of experience in the oil patch
5 . multiple leaseholds and joint venture partners
6 . tight float , low entry price strong upward potential !
7 . business model offers only real solution to u . s . dependency on foreign oil .
8 . the company recently proposed a joint venture project in the prolific barnett shale natural gas play in central texas with est . reserves of over 10 trillion cubic ft of gas !
conclusion
tradestar corp . ( tirr ) is getting ready to become a major presence in oil gas fields across texas . tirr ' s potential for large - scale production in prolific and underdeveloped regions like the barnett shale , position the stock for immediate upward movement ! ! ! we believe that tirr is in position to take the petroleum industry by storm . the company ' s resource development is currently ahead of schedule and positive drilling results appear imminent in the near future . revenues are up 50 % over the lst quarter of last year . don ' t miss this fantastic opportunity . for more information on tirr , go to tradestar - corp . com for sec filings or press releases .
this is one of our top recommendations this year . we are giving tirr our seal of approval .
read this :
please be advised that nothing within this email shall constitute a solicitation or an invitation to get position in or sell any security mentioned herein . this newsletter is neither a registered investment advisor nor affiliated with any broker or dealer . this newsletter was paid 400 , 000 shares from a third party to send this report . all statements made are our express opinion only and should be treated as such . we may own , take position and sell any securities mentioned at any time . this report includes forward - looking statements within the meaning of the private securities litigation reform act of 1995 . these statements may include terms as expect , believe , may , will , move , undervalued and intend or similar terms .
",1,0,0.4995840743876559,False Negative
"Subject: re : re : re : your document
please read the attached file .
",1,0,0.16566218987962789,False Negative
"Subject: long time
customer id : 615
order # 13
we would like to thank you for your recent purchase on our website
and thought that you may also be interested in our new lub . ricant
that has been added to our line of herb - al supp - lements .
it is gua ran - teed to help spice up your night life in the bed ` room .
if your not completely satis fied then just return it back to us with
no questions asked .
you can view our new line at http : / / nikko . getchatimenow . com / x / poppi
thank you once again
",1,0,0.3984210626958978,False Negative
