Text,Actual,Predicted,Probability,Error_Type
"Subject: $ 5 for cd ' s dvd ' s expires soon at half . com
* * free $ 5 coupon at half . com * *
o half . com is a new site for cds , books , movies , & video games
o everything is 50 - 90 % off and you get $ 5 off your first $ 10 order
o plus , free shipping with your first order of 3 or more items
o be sure to pass this coupon on to all your friends ! ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
"" use it or lose it "" expires soon ! !
click here for 5 bucks !
your coupon code is : lifestyle 5
the hottest titles at 50 % off while they last - including :
cds - santana , n sync , dixie chicks , jay - z , and christina
aguilera project , sixth sense and matrix
dvds - world is not enough , blair witch and more . . .
* * free $ 5 coupon at half . com * *
click here for 5 bucks !
your coupon code is : lifestyle 5
on the shopping cart page , enter your $ 5 . 00 coupon
code on the right side of the page . after submitting
your code , your coupon will be displayed in your
shopping cart .
you have received this invitation to participate in our offer because
you or someone using your e - mail address agreed to receive special
promotional offers from retail trade services and its web site
partners . if you wish to be excluded from future offers , please reply
to this message and type "" unsubscribe "" in the subject line .
all questions can be sent to :
if you wish to know more about our privacy policies , please go to
",0,1,0.5345224698310159,False Positive
"Subject: degree verification
get your
university diploma
do
you
want
a
prosperous future , increased
earning power
more money and
the respect
of all ?
call
this
number : 1 - 212 - 208 - 4551
( 24 hours )
there are
no
required tests ,
classes ,
books ,
or
interviews !
get
a
bachelors ,
masters ,
mba ,
and doctorate ( phd )
diploma !
receive
the
benefits and
admiration that comes with
a diploma !
no
one is
turned down !
call
today 1 - 212 - 208 - 4551
( 7
days a week )
confidentiality assured !
",1,0,0.4079271033169762,False Negative
"Subject: a more radiant you
act now . get your
free trial offer of the revelotionary
new anti - wrinkle
complex by derma radiant of beverly hills .
2 - step miracle :
anti - wrinkle complext
ageless eyest
. reduce fine lines and deep wrinkles by 98 % .
. increase collagen synthesis by 350 % .
. remove dark circles and puffiness under the eyes .
dermaradiant
468 north camden drive 2 nd floor
beverly hills , ca 90210
1 - 800 - 859 - 3265
cs @ dermaradiant . com
www . dermaradiant . com
if you would rather not receive further emails from derma radiant please go to here .
removal requests :
3305 w spring mountain rd .
suite 60 - 15
las vegas , nv 89102
",1,0,0.4402945955533741,False Negative
"Subject: 
",1,0,0.1768554907995125,False Negative
"Subject: watch this stock going up
a niche remanufacturing industry alert for investors and traders : one of a few very unique technological opportunities : re - manufacturing for a global market
stock alert -
updated : 4 / 22 / 05 09 : 23 am est
adsero corp ( adso ) is a leader in the printer cartridge recharger industry .
the recent aquisition of teckn - o - laser global inc - one of north america ' s leaders in the cartridge remanufacturing industry , stations adsero corp in the forefront of this growing and lucrative market .
adso stock status :
last sale : 1 . 00
52 wk range : 1 . 20 - 2 . 1 o
investment considerations :
- profitable , with quarter over quarter growth
- acquired teckn - 0 - laser global inc with $ 30 m in sales
- for three years , teckn - 0 - laser was named one of canadas best !
- domestic us market is estimated to be in excess of $ 9 billion by 2006 !
- global market is estimated to be in excess of $ 25 billion !
company profile :
adsero corp . is a rapidly expanding company focusing on the printer cartridge recharger industry , with specific emphasis on laser toner , and to a lesser extent ink jet cartridges .
the recharger industry can be defined by printer cartridges where many of their components can be reused , remanufactured or recycled , then marketed back to consumers at substantially lower prices than a new cartridge while still enerating high margins for the company .
aderso corp . seeks to consolidate well - managed and profitable companies which address the highly lucrative recharger segment .
recharger industry profile :
total market is estimated to be in excess of $ 25 billion globally
specific specialization will be in the cartridge recharger industry . the industry is currently very fragmented with a large number of small players competing in a segment which is estimated to grow in excess of us $ 9 billion by 2 oo 6 .
in order to compete , players will need to achieve economies of scale and develop expanded sales channels .
adsero corp . will focus on consolidating this industry to become the one of the top dominating global players .
conclusion :
adsero corp . is an extremely attractive investment to small cap investors as it addresses a growing and very lucrative niche , has established multi - million dollar revenues , profitability , and all this while helping to save the environment through adsero ' s conscientious remanufacturing program .
as a serious player in the cartridge aftermarket , industry , adsero corp . has demonstrated that it has not only the technology , but also the strategic alliances , customers and record breaking revenues to indicate that adsero is determined to become the dominant player in this unique niche market industry .
this e - mail is sent for the sole attention of the identified addressee and its contents
are provided for information purposes only . we make no warranty or representation as to
the accuracy and completeness of any information and do not assume whatever commitment hereby .
legally binding obligation can only arise for , or be entered into on behalf of , by means of a
written instrument , signed by two duly authorised representatives of the company involved .
we exclude any liability whatsoever for any direct or consequential loss arising from the use ,
or reliance on , this e - mail or its contents .
* please note :
we sent this e - mail because you subscribed to the pennystock e - zine . to cancel by mail or for any other subscription issues , reply please to : gstock 2005 @ hotmail . com
( c ) 2 oo 5 pennystock e - zine all rights reserved
",1,0,0.3913446181946335,False Negative
"Subject: let this stuff make your life better
hello !
do you want to make her happy ?
it ' s very easy when your night life is ok . but there are men who have
problems with it . is it familiar to you ? in this case you ' ve already heard about our product .
then you should know that it can make your night life . . . bright and healthly ! make her happy !
for additional information how to get the tabs see details at site .
best regards ,
kearney schultz
",1,0,0.4269672061589518,False Negative
"Subject: funny
may aplomb be angola may prize some workload
on hop but pluto ! brandt on samson
or syndic ! cursor it denigrate and damp
in antoine see secrete not wilderness try expedient
a schematic and vengeful , fullback . out , babe , go here
",1,0,0.4376486102655645,False Negative
"Subject: check it out
hello ,
if you want that roooock harrrrd john son
check out the first and original one on the market . . . don ' t be fooled by imitations and copy - cats .
later ,
jordan
",1,0,0.29140546664585604,False Negative
"Subject: re : married porstitute pohto galleries
groovy : )
bazzo deravin
",1,0,0.4256478856230962,False Negative
"Subject: dermatology , neurology , pathology ,
the new 2005 united states
healthcare database .
in a rapidly - changing industry , current healthcare information is an
invaluable resource to businesses and organizations . the united states
healthcare database includes comprehensive information on more than
7 , 000 hospitals , 25 , 000 nursing homes and 400 , 000 doctors . it is the
most extensive and reliable mailing list and database of key decision
makers in the health care market .
each record is indexed by such features as name , address , phone and fax .
the database is available in excel format on cd rom . it is designed for
mailing lists and merges . the data can be selected by state or other
criteria such as type of practice . it can be used on an unlimited basis .
for the past 14 years , medcom has maintained the most comprehensive
healthcare lists . our directories are 100 % telephone verified and
updated every quarter . medcom continues to hold the nation ' s most
extensive and reliable databases of key decision - makers in the health
care market .
available exclusively on cd - rom ( excel ) , the data can be used on an
unlimited basis . it is easily exportable to other programs for mailing
or faxing purposes .
for a limited time , this extensive database is offered at an introductory
price of $ 195 ( reg . $ 745 ) .
to order , please print this e - mail , complete the information below and
fax it to 416 - 765 - 0029 ( tel : 416 - 765 - 0028 ) .
name :
title :
organization :
address :
city :
state :
postal :
tel :
fax :
email :
",1,0,0.38144487463578064,False Negative
"Subject: investment news : hot stock this week ! ""
the u . s . oil report ( hot stock news flash - this one is moving )
a premium market related service
attn : subscribers , stockbrokers , analysts investors
tradestar corporation ( otc : tirr )
symbol tirr
est . shares outstanding 38 , 000 , 000
est . float 2 , 000 , 000
recent price $ 0 . 71
tirr is up over 70 % in the past two weeks ! ! !
tradestar corporation ( tirr ) finishes recompletion of karnes county tx oil well bringing on 35 bpd in production ! ! !
readers who have followed oil stock recommendations ( otcbb : svse and asurf ) in the past have profited nicely .
the company
tradestar corp . ( otc : tirr ) , is a junior oil gas exploration company that specializes in re - entries and offset drilling for hydrocarbons in an area said to have the largest untapped potential for natural gas in north america . new prices and technologies have exponentially improved the economics and drill success rates average over 90 % . tradestar corp . is engaged in the low - risk development of proven oil and gas properties in texas including the prolific barnett shale gas play south of ft worth . the rapid oil and gas price increases and recent advances in economical drilling , completion and production techniques , have resulted in :
1 accelerated development activity and increased land lease values in this extremely productive area .
2 co - mingling gas flow from several productive sands in each well - - increasing both initial and total output .
3 the opportunity to drill new offset wells - - where success rates are typically over 90 % . ( using oil @ $ 35 . 00 and gas @ $ 4 . 50 - - the pay back on well re - entry costs are estimated to average about 6 months . oil is currently $ 48 and gas $ 6 ! ! ! !
tirr ' s strategy is to strike oil again ! using current drilling technologies available today the company has begun to tap into low risk , high yield underdeveloped gas reserves in one of the most prolific plays ( barnett shale in central texas ) in the lower 48 states ! ! ! with a balanced portfolio of oil gas properties , an aggressive acquisition campaign , experienced management team , and application of cutting edge ep technologies , we believe that tirr could be the next breakout stock in your investment portfolio .
investors have a ground floor opportunity to own a piece of a company poised to take advantage of skyrocketing world energy prices . these high energy prices have created new opportunities to bring undeveloped domestic reserves on stream with minimal downside risk to the company ! ! ! !
previous news
tradestar corporation announces barnett shale project
hot springs , ark . , - - tradestar ( otc : tirr ) today announces that it has entered into a joint venture agreement with united production and exploration of houston , texas to reenter and drill a binion parker gas well and prospect in erath county , texas . in addition to the gas well reentry , the prospect , which covers 111 acres , has an additional location to drill a new well . the objective formation of the recompletion and new drill is the barnett shale formation at a depth of approximately 4 , 830 ' to 5 , 030 ' with 200 net feet of anticipated pay zone . estimated reserves in the reentry and new well are 750 , 000 mcf for each well .
why we love this stock
1 . continued rise in world oil gas prices !
2 . over 30 potential oil gas producing sites in the prolific barnett shale of central texas
3 . strong industry investment banking relationships
4 . strong management - over 50 years of experience in the oil patch
5 . multiple leaseholds and joint venture partners
6 . tight float , low entry price strong upward potential !
7 . business model offers only real solution to u . s . dependency on foreign oil .
8 . the company recently proposed a joint venture project in the prolific barnett shale natural gas play in central texas with est . reserves of over 10 trillion cubic ft of gas !
conclusion
tradestar corp . ( tirr ) is getting ready to become a major presence in oil gas fields across texas . tirr ' s potential for large - scale production in prolific and underdeveloped regions like the barnett shale , position the stock for immediate upward movement ! ! ! we believe that tirr is in position to take the petroleum industry by storm . the company ' s resource development is currently ahead of schedule and positive drilling results appear imminent in the near future . revenues are up 50 % over the lst quarter of last year . don ' t miss this fantastic opportunity . for more information on tirr , go to tradestar - corp . com for sec filings or press releases .
this is one of our top recommendations this year . we are giving tirr our seal of approval .
read this :
please be advised that nothing within this email shall constitute a solicitation or an invitation to get position in or sell any security mentioned herein . this newsletter is neither a registered investment advisor nor affiliated with any broker or dealer . this newsletter was paid 400 , 000 shares from a third party to send this report . all statements made are our express opinion only and should be treated as such . we may own , take position and sell any securities mentioned at any time . this report includes forward - looking statements within the meaning of the private securities litigation reform act of 1995 . these statements may include terms as expect , believe , may , will , move , undervalued and intend or similar terms .
",1,0,0.12476686446352339,False Negative
"Subject: re : re : re : your document
please read the attached file .
",1,0,0.013760620834305565,False Negative
"Subject: long time
customer id : 615
order # 13
we would like to thank you for your recent purchase on our website
and thought that you may also be interested in our new lub . ricant
that has been added to our line of herb - al supp - lements .
it is gua ran - teed to help spice up your night life in the bed ` room .
if your not completely satis fied then just return it back to us with
no questions asked .
you can view our new line at http : / / nikko . getchatimenow . com / x / poppi
thank you once again
",1,0,0.06635876855047616,False Negative
"Subject: let the euro make you money
",1,0,0.4537455029936465,False Negative
