Text,Actual,Predicted,Probability,Error_Type
"Subject: order confirmation from footlocker . com
dear daren :
thank you for ordering from footlocker . com
? order number : 1206478 . 00
? customer number : 2481611
? your order will ship within approximately 24 hours upon credit card company approval .
your order detail :
order # 1206478 . 00 received on : july 18 , 2001
shipping to :
daren farmer
2747 meadow tree
spring
tx , 77388
281 - 288 - 8251
qty price product no . description
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
1 $ 29 . 99 39362101 nike men ' s air team unite ( 10 . 5 | white / black )
subtotal : $ 29 . 99
tax : $ 2 . 68
shipping : $ 6 . 99
discounts : ( $ 0 . 00 )
credits : ( $ 0 . 00 )
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
total : $ 39 . 66",0,1,0.9420773,False Positive
"Subject: fw : men & cars
because i ' m a man , when i lock my keys in the car i will
fiddle with a wire clothes hanger and ignore your
suggestions that we call a road service until long after
hypothermia has set in .
because i ' m a man , when the car isn ' t running very well ,
i will pop the hood and stare at the engine as if i know what
i ' m looking at . if another man shows up , one of us will say
to the other , "" i used to be able to fix these things , but now
with all these computers and everything , i wouldn ' t know
where to start . ""
because i ' m a man , when i catch a cold i need someone to
bring me soup and take care of me while i lie in bed and moan .
you never get as sick as i do , so for you this isn ' t an issue .
because i ' m a man , i can be relied upon to purchase basic
groceries at the store , like milk or bread . i cannot be expected
to find exotic items like "" cumin "" or "" tofu "" or "" cardamom . ""
for all i know these are all the same thing .
because i ' m a man , when one of our appliances stops working
i will insist on taking it apart , despite evidence that this will just
cost me twice as much once the repair person gets here and
has to put it back together .
because i ' m a man , i must hold the television remote control
in my hand while i watch tv . if the thing has been misplaced ,
i may miss a whole show looking for it ( though one time i was
able to survive by holding a calculator ) .
because i ' m a man , i don ' t think we ' re all that lost , and no , i
don ' t think we should stop and ask someone . why would
you listen to a complete stranger - - i mean , how could he
know where we ' re going ?
because i ' m a man , i do not want to visit your mother ,
or have your mother come visit us , or talk to her when she
calls , or think about her any more than i have to .
whatever you got her for mother ' s day is okay , i don ' t
need to see it . and don ' t forget to pick up something for
my mom , too !
because i ' m a man , you don ' t have to ask me if i liked the
movie . chances are , if you ' re crying at the end of it , i didn ' t .
because i ' m a man , yes , i have to turn up the radio when
bruce springsteen or the doors comes on , and then ,
yes , i have to tell you every single time about how bruce
had his picture on the cover of time and newsweek the
same day , or how jim morrison is buried in paris and
everyone visits his grave . please do not behave as if you
do not find this fascinating .
because i ' m a man , i think what you ' re wearing is fine .
i thought what you were wearing five minutes ago was fine ,
too . either pair of shoes is fine . with the belt or without it
looks fine . your hair is fine . you look fine .
can we just go now ?
because i ' m a man , and this is , after all , the 2000 ' s , i will
share equally in the housework . you just do the laundry ,
the cooking , the gardening , the cleaning , and the dishes . i ' ll
do the rest .",0,1,0.69778216,False Positive
"Subject: houston getaways
houston fare sale
purchase at delta . com by january 30
hello mr farmer !
take advantage of some great low fares from both hobby and bush
intercontinental to select u . s . cities . and because travel on these fares can
also originate in other cities , let friends and family know how inexpensive a
visit to houston can be . see the list of cities and fares below .
- - these fares require a 14 - day advance purchase .
- - tickets must be purchased at delta . com by january 30 , 2001 .
- - travel must be completed by march 31 , 2001 .
- - travel between houston and cities in florida is not permitted on february
16 , 23 and 25 , 2001 .
for additional information and to purchase a ticket :
http : / / www . delta . com / servlet / acredirect ? rdid = 2454 max . stay 30 days .
fare validity : fares are valid in the economy ( coach ) cabin on delta / delta
connection / delta express flights only .
changes / standby : all fares are nonrefundable . prior to departure : value of
fare may be applied to any applicable published delta fare less a $ 75 service
charge ( $ 50 for delta express ) . after departure : changes may be made for $ 75
( $ 50 for delta express ) as long as rule requirements are satisfied . special
offers issued on delta . com may not be applied to other web fares . credit
vouchers cannot be used for payment for tickets purchased on delta . com . same
day standby is allowed .
taxes / fees : fares do not include passenger facility charge ( s ) of up to $ 18 .
miscellaneous : fares are subject to change without notice . other restrictions
may apply . it is the responsibility of the passenger to be in possession of
all necessary documentation ( e . g . , valid passport , visa where applicable ) at
the time of departure from origin . this offer is void where prohibited by
law . third party purchases of tickets are not permitted on delta . com . the
credit card holder making the purchase must be a traveling passenger or have
the same last name of at least one passenger . these fees are the
responsibility of the passenger and must be paid at the time of ticketing .
subscribe / unsubscribe
you have received this e - mail because your e - mail preferences indicate you
would like to receive information about cities contained in this email . to
modify your e - mail options , or unsubscribe from this service , please visit
the following link and enter your skymiles account number and pin . you will
then be able to update your preferences in our e - mail programs section .
copyright information
this e - mail message and its contents are copyrighted and are
proprietary products of delta air lines , inc . any unauthorized
use , reproduction , or transfer of this message or its contents ,
in any medium , is strictly prohibited .
this is a post only e - mail . please do not respond to this message .
",0,1,0.93738735,False Positive
"Subject: fw : father ' s letter
- - - - - original message - - - - -
from : michael boykin [ mailto : boykin @ flash . net ]
sent : friday , january 26 , 2001 4 : 17 pm
subject : fw : father ' s letter
> father ' s love letter
>
> my child *
> you may not know me , but i know everything about you * psalm 139 : 1
> i know when you sit down and when you rise up * psalm 139 : 2
> i am familiar with all your ways * psalm 139 : 3
> even the very hairs on your head are numbered * matthew 10 : 29 - 31
> for you were made in my image * genesis 1 : 27
> in me you live and move and have your being * acts 17 : 28
> for you are my offspring * acts 17 : 28
> i knew you even before you were conceived * jeremiah 1 : 4 - 5
> i chose you when i planned creation * ephesians 1 : 11 - 12
> you were not a mistake , for all your days are written in my book * psalm
139 : 15 - 16
> i determined the exact time of your birth and where you would live * acts
17 : 26
> you are fearfully and wonderfully made * psalm 139 : 14
> i knit you together in your mother ' s womb * psalm 139 : 13
> and brought you forth on the day you were born * psalm 71 : 6
> i have been misrepresented by those who don ' t know me * john 8 : 41 - 44
> i am not distant and angry , but am the complete expression of love * 1 john
4 : 16
> and it is my desire to lavish my love on you * 1 john 3 : 1
> simply because you are my child and i am your father * 1 john 3 : 1
> i offer you more than your earthly father ever could * matthew 7 : 11
> for i am the perfect father * matthew 5 : 48
> every good gift that you receive comes from my hand * james 1 : 17
> for i am your provider and i meet all your needs * matthew 6 : 31 - 33
> my plan for your future has always been filled with hope * jeremiah 29 : 11
> because i love you with an everlasting love * jeremiah 31 : 3
> my thoughts toward you are countless as the sand on the seashore * psalm
139 : 17 - 18
> and i rejoice over you with singing * zephaniah 3 : 17
> i will never stop doing good to you * jeremiah 32 : 40
> for you are my treasured possession * exodus 19 : 5
> i desire to establish you with all my heart and all my soul * jeremiah 32 : 41
> and i want to show you great and marvelous things * jeremiah 33 : 3
> if you seek me with all your heart , you will find me * deuteronomy 4 : 29
> delight in me and i will give you the desires of your heart * psalm 37 : 4
> for it is i who gave you those desires * philippians 2 : 13
> i am able to do more for you than you could possibly imagine * ephesians
3 : 20
> for i am your greatest encourager * 2 thessalonians 2 : 16 - 17
> i am also the father who comforts you in all your troubles * 2 corinthians
1 : 3 - 4
> when you are brokenhearted , i am close to you * psalm 34 : 18
> as a shepherd carries a lamb , i have carried you close to my heart * isaiah
40 : 11
> one day i will wipe away every tear from your eyes * revelation 21 : 3 - 4
> and i ' ll take away all the pain you have suffered on this earth * revelation
21 : 3 - 4
> i am your father , and i love you even as i love my son , jesus * john 17 : 23
> for in jesus , my love for you is revealed * john 17 : 26
> he is the exact representation of my being * hebrews 1 : 3
> he came to demonstrate that i am for you , not against you * romans 8 : 31
> and to tell you that i am not counting your sins * 2 corinthians 5 : 18 - 19
> jesus died so that you and i could be reconciled * 2 corinthians 5 : 18 - 19
> his death was the ultimate expression of my love for you * 1 john 4 : 10
> i gave up everything i loved that i might gain your love * romans 8 : 31 - 32
> if you receive the gift of my son jesus , you receive me * 1 john 2 : 23
> and nothing will ever separate you from my love again * romans 8 : 38 - 39
> come home and i ' ll throw the biggest party heaven has ever seen * luke 15 : 7
> i have always been father , and will always be father * ephesians 3 : 14 - 15
> my question is * will you be my child ? * john 1 : 12 - 13
> i am waiting for you * luke 15 : 11 - 32
>
> love , your dad . almighty god
>
> written by barry adams copyright 1999
> intended for personal use . no reprint without permission
>
> http : / / www . fathersloveletter . com /
>
>",0,1,0.87745464,False Positive
"Subject: mtbe upset
the mtbe plant had an upset early today and a steam boiler is being taken out
of service . production will be cut back to approximately 8 mbd to 9 mbd for
four to five days .",0,1,0.9393249,False Positive
"Subject: your username and password
dear daren farmer ,
here is your username and password that you requested .
username : dfarmer 2
password : jungle
you can update your info at :
",0,1,0.9816805,False Positive
"Subject: fw : sitara eol bridge problem today
fyi > > > we were also monitoring the eol to sitara bridge during this time to inform our traders and other desks of the situation and status . . . all deals bridged over by 10 : 30 ish . thanks
- - - - - original message - - - - -
from : truong , dat
sent : thursday , october 25 , 2001 11 : 11 am
to : moorer , torrey ; lamadrid , victor ; severson , russ ; grant , george
cc : husain , karima ; lim , francis s . ; saluja , gurdip ; sweitzer , tara
subject : sitara eol bridge problem today
the problem we faced today was due to 2 eol deal packets ( 2098073 , 2099764 ) not having startdate and enddate . missing these 2 tibco message fields caused the bridge to bounce and resulted in the queue to build up while the bridge is starting up . ( the bridge takes 2 minute for startup ) . each time these deals are sent / resent , it continuously cause the sitarar eolbridge to restart , thus magnifying the buildup of the queue .
the corrective action we are taking at our end is to build a rejection logic when eol packets do not have start and / or enddate .
- dat truong",0,1,0.8190602,False Positive
"Subject: february updates
sorry so late .",0,1,0.87780285,False Positive
"Subject: re : fw : king ranch balancing . xls
saxet is flowing about 5200 ish .",0,1,0.90589964,False Positive
"Subject: christmas tree farm pictures
",0,1,0.7120989,False Positive
