Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Naive Bayes,0.923671497584541,0.9953703703703703,0.7337883959044369,0.8447937131630648,0.9979531383678464
Logistic Regression,0.9893719806763285,0.9763513513513513,0.9863481228668942,0.9813242784380306,0.9985832957692059
Random Forest,0.9816425120772947,0.9536423841059603,0.9829351535836177,0.9680672268907563,0.9984936018325161
XGBoost,0.9739130434782609,0.9403973509933775,0.9692832764505119,0.9546218487394958,0.9985671968574924
LightGBM,0.9768115942028985,0.9438943894389439,0.9761092150170648,0.959731543624161,0.9981969218880804
Isolation Forest,0.5903381642512078,0.27335640138408307,0.2696245733788396,0.27147766323024053,0.47958657994719567
RNN,0.9777777777777777,0.9623287671232876,0.9590443686006825,0.9606837606837607,0.9953359152921262
LSTM,0.9835748792270531,0.9791666666666666,0.962457337883959,0.9707401032702238,0.9977553517382225
Bidirectional LSTM,0.9758454106280193,0.9620689655172414,0.9522184300341296,0.9571183533447685,0.9970378002447036
Autoencoder,0.8521739130434782,0.6933701657458563,0.856655290102389,0.766412213740458,0.8996669825119821
